code_production,libelle_cpf,lbl_production,précisions,indicateur,mesure,nomenclature,actif,lien_code,lien_direct,type,activites,sous_groupe,groupe
01.1,Cultures non permanentes,,,,,CPF rev2,0,*,0,,,,
01.11,"Céréales (à l'exclusion du riz), légumineuses et oléagineux",,,,,CPF rev2,0,"01.11*,01.12*",0,,,,
01.11.00.1,"Semences de céréales, légumineuses et oléagineux (à l'exclusion du riz)","Semences de céréales, légumineuses et oléagineux","Surface destinée à la production de semences de céréales, légumineuses et oléoprotéagineux",Surface constatée,Hectare,BIO v1.4,1,,,Surfaces,Production,Semences et plants,Autres surfaces
01.11.1,Blé,,,,,CPF rev2,0,01.11.1*,0,,,,
01.11.11,Blé dur,Blé dur,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Céréales,Grandes Cultures
01.11.12,Blé tendre,Blé tendre,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Céréales,Grandes Cultures
01.11.2,Maïs grain (yc maïs doux),,,,,CPF rev2,0,"01.11.20.1, 01.11.20.2",0,,,,
01.11.20,Maïs grain (yc maïs doux),,,,,CPF rev2,0,"01.11.20.1, 01.11.20.2",,,,,
01.11.20.1,Maïs doux,Maïs doux,"Collectés pour le grain, à destination de l'alimentation humaine",Surface constatée,Hectare,BIO v1.1,1,,,Surfaces,Production,Céréales,Grandes Cultures
01.11.20.2,Maïs grain (hors maïs doux),Maïs grain,"Collectés pour le grain, à destination de l'alimentation animale",Surface constatée,Hectare,BIO v1.3,1,,,Surfaces,Production,Céréales,Grandes Cultures
01.11.20.3,Maïs pop-corn,Maïs pop-corn,"Collectés pour le grain, à destination de l'alimentation humaine",Surface constatée,Hectare,BIO v1.6,1,,,Surfaces,Production,Céréales,Grandes Cultures
01.11.3,"Orge, seigle et avoine",,,,,CPF rev2,0,01.11.3*,0,,,,
01.11.31,Orges,Orge,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Céréales,Grandes Cultures
01.11.31.1,Orge de brasserie,Orge de brasserie,Surfaces destinées à la production de malt,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Céréales,Grandes Cultures
01.11.31.2,Orge fourrager,Orge fourrager,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Céréales,Grandes Cultures
01.11.32,Seigle,Seigle,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Céréales,Grandes Cultures
01.11.33,Avoine,Avoine,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Céréales,Grandes Cultures
01.11.4,Autres céréales et mélanges,,,,,CPF rev2,0,"01.11.49.9, 01.11.49.31, 01.11.49.32",0,,,,
01.11.41,Sorgho,Sorgho,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Céréales,Grandes Cultures
01.11.42,Millet,Millet,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Céréales,Grandes Cultures
01.11.43,Triticale,Triticale,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Céréales,Grandes Cultures
01.11.49,"Autres céréales, pseudo-céréales et mélanges n.c.a.",,,,,CPF rev2,0,"01.11.49.9, 01.11.49.31, 01.11.49.32",0,,,,
01.11.49.1,Epeautre,Epeautre,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Céréales,Grandes Cultures
01.11.49.11,Petit épeautre,Petit épeautre,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Céréales,Grandes Cultures
01.11.49.12,Grand épeautre,Grand épeautre,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Céréales,Grandes Cultures
01.11.49.2,Sarrasin,Sarrasin,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Céréales,Grandes Cultures
01.11.49.3,Mélanges (avec céréales),,,,,BIO v1,0,"01.11.49.31,01.11.49.32",0,,,,
01.11.49.31,Mélanges Céréaliers (sans légumineuses),Mélange de céréales prépondérants,"Hors mélange fourrager, prairie et surface pâturée",Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Céréales,Grandes Cultures
01.11.49.32,Mélanges Céréales-légumineuses,Mélange de légumineuses non fourragères prépondérantes,"Hors mélange fourrager, prairie et surface pâturée",Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Céréales,Grandes Cultures
01.11.49.4,Quinoa,Quinoa,,Surface constatée,Hectare,BIO v1.5,1,,,Surfaces,Production,Céréales,Grandes Cultures
01.11.49.5,Moha,Moha,,Surface constatée,Hectare,BIO v1.6,1,,,Surfaces,Production,Céréales,Grandes Cultures
